id,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
72635,"3 Private Bedrooms, SW Austin",377044,Jason & Marcie,2011-02-04,"Austin, Texas, United States",,,,False,Circle C,1.0,1.0,"['email', 'facebook', 'linkedin', 'reviews']",t,False,Circle C,78739,Austin,TX,78749.0,Austin,"Austin, TX",US,United States,30.202823795785008,-97.88430895565078,t,House,Private room,6,2.5,1.0,3.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Other pet(s)"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",300.0,,,1,0.0,2,10,0,0,0,240,1,2011-03-21,2011-03-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,False,moderate,f,f,1,0.02
8826517,Private room 1 in South Austin,46230038,Ric,2015-10-10,"Austin, Texas, United States",,,,False,,2.0,2.0,"['email', 'phone', 'linkedin', 'jumio']",t,True,,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.16849634313263,-97.86448296572205,t,House,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",100.0,,,1,0.0,1,1125,30,60,90,365,0,,,,,,,,,,False,flexible,f,f,2,
8828616,Private room 2 in South Austin,46230038,Ric,2015-10-10,"Austin, Texas, United States",,,,False,,2.0,2.0,"['email', 'phone', 'linkedin', 'jumio']",t,True,,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.168621289630067,-97.8648741913196,t,House,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",100.0,,,1,0.0,1,1125,30,60,90,365,0,,,,,,,,,,False,flexible,f,f,2,
8536913,Brand-New 3BR Austin Home,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,True,,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.16942556547455,-97.88831864172388,t,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",599.0,,125.0,1,0.0,2,1125,27,57,87,358,0,,,,,,,,,,False,strict,f,f,2,
8542056,Private room & Bathroom.,44939694,Michael,2015-09-23,"Austin, Texas, United States",,,,False,Circle C,1.0,1.0,"['email', 'phone']",t,False,Circle C,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.18676367565741,-97.9074429978643,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",100.0,,,1,0.0,1,1125,30,60,90,365,0,,,,,,,,,,False,flexible,f,f,1,
6385948,"S. Austin, convenient to MoPac",33287946,Jennie,2015-05-13,"Austin, Texas, United States",,,,False,,1.0,1.0,"['email', 'phone', 'linkedin', 'kba']",t,True,,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.18769526684773,-97.92021715551186,t,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Futon,"{""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Heating,""Family/Kid Friendly""}",54.0,,15.0,2,25.0,1,1125,0,0,26,301,0,,,,,,,,,,False,flexible,f,f,1,
8486890,Cozy private room 15 mins frm dtwn,11448084,Prerna,2014-01-19,"Austin, Texas, United States",within an hour,1.0,1.0,False,Circle C,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,True,Circle C,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.18318340901128,-97.89098664019056,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",40.0,,25.0,2,10.0,1,7,16,16,37,312,2,2015-10-26,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,True,moderate,f,f,1,2.0
8633580,Room to rent,45398195,Aurore Et Jeremy,2015-09-29,US,within a day,1.0,1.0,False,,2.0,2.0,"['email', 'phone']",t,False,,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.189291843216004,-97.86937281577008,f,House,Private room,6,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",130.0,,,2,50.0,1,1125,29,50,80,355,0,,,,,,,,,,True,flexible,f,f,1,
5293632,Southwest Austin Retreat,1988520,Peg,2012-03-22,"Austin, Texas, United States",within an hour,1.0,1.0,True,,1.0,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,True,,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.170423708223083,-97.8699974399975,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",44.0,,10.0,2,19.0,1,1125,29,59,89,364,20,2015-03-16,2015-10-13,99.0,10.0,10.0,10.0,10.0,10.0,10.0,False,moderate,f,f,1,2.52
7659967,Bright Comfy Room in Spacious Home,39813308,Michael,2015-07-28,US,,,,False,Circle C,1.0,1.0,"['email', 'phone']",t,False,Circle C,78739,Austin,TX,78739.0,Austin,"Austin, TX",US,United States,30.19514503169469,-97.87325404009252,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Hot Tub"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",99.0,,,2,0.0,2,7,29,59,89,364,0,,,,,,,,,,False,strict,f,f,1,
